frame,class,conf,x1,y1,x2,y2
frame_000001.jpg,crack,0.727,3418.0,993.7,3563.3,2160.0
frame_000001.jpg,crack,0.68,186.8,0.0,402.5,2160.0
frame_000002.jpg,crack,0.735,3411.2,993.9,3559.4,2160.0
frame_000002.jpg,crack,0.656,161.3,7.5,377.4,2160.0
frame_000002.jpg,crack,0.456,1451.2,1835.8,1818.3,2160.0
frame_000002.jpg,crack,0.45,211.2,0.0,398.8,2160.0
frame_000003.jpg,crack,0.721,3405.5,982.8,3550.6,2160.0
frame_000003.jpg,crack,0.601,154.2,1.8,364.5,2160.0
frame_000003.jpg,crack,0.236,211.0,0.0,377.9,2160.0
frame_000003.jpg,crack,0.206,144.1,88.1,313.0,2160.0
frame_000004.jpg,crack,0.728,3402.1,919.9,3546.4,2151.2
frame_000004.jpg,crack,0.626,137.2,93.7,337.5,2160.0
frame_000004.jpg,crack,0.408,1463.9,1758.4,1820.6,2160.0
frame_000004.jpg,crack,0.394,126.9,188.3,291.4,2160.0
frame_000005.jpg,crack,0.739,106.0,8.0,316.8,2160.0
frame_000005.jpg,crack,0.72,3381.5,846.5,3528.3,2159.5
frame_000005.jpg,crack,0.302,3513.5,0.0,3625.6,478.2
frame_000005.jpg,crack,0.233,96.9,116.3,260.9,2160.0
frame_000006.jpg,crack,0.727,79.8,0.0,291.3,2160.0
frame_000006.jpg,crack,0.682,3354.1,780.0,3501.2,2160.0
frame_000006.jpg,crack,0.35,3484.7,0.0,3598.9,419.7
frame_000007.jpg,crack,0.693,3333.7,689.9,3487.5,2005.9
frame_000007.jpg,crack,0.689,31.1,15.1,248.5,2160.0
frame_000007.jpg,crack,0.291,89.3,0.0,275.3,2160.0
frame_000008.jpg,crack,0.73,3295.7,608.4,3451.5,1906.6
frame_000008.jpg,crack,0.7,6.8,10.7,218.1,2160.0
frame_000008.jpg,crack,0.385,0.0,97.8,156.9,2160.0
frame_000009.jpg,crack,0.712,3255.3,557.0,3405.9,1861.2
frame_000009.jpg,crack,0.695,0.0,13.0,167.5,2160.0
frame_000009.jpg,crack,0.286,0.0,143.7,119.5,2160.0
frame_000010.jpg,crack,0.732,3219.3,482.7,3371.2,1784.9
frame_000010.jpg,crack,0.626,0.0,9.0,137.3,2160.0
frame_000011.jpg,crack,0.713,3180.5,427.5,3338.9,1730.8
frame_000011.jpg,crack,0.43,0.0,0.0,90.2,2144.2
frame_000012.jpg,crack,0.689,3148.1,401.6,3307.4,1674.8
frame_000012.jpg,crack,0.399,0.0,0.0,86.6,2141.8
frame_000012.jpg,crack,0.208,0.0,0.0,56.3,1576.9
frame_000013.jpg,crack,0.731,3122.6,421.6,3276.3,1690.9
frame_000014.jpg,crack,0.745,3100.4,469.2,3253.2,1741.1
frame_000015.jpg,crack,0.718,3086.4,558.9,3232.0,1840.2
frame_000015.jpg,crack,0.22,3219.5,0.0,3303.8,190.2
frame_000016.jpg,crack,0.652,3062.1,721.9,3210.8,1970.0
frame_000016.jpg,crack,0.301,3649.3,1219.1,3752.0,1572.2
frame_000016.jpg,crack,0.28,3207.4,0.0,3304.7,327.7
frame_000017.jpg,crack,0.653,3167.0,7.5,3272.9,483.2
frame_000017.jpg,crack,0.635,3024.4,869.0,3178.5,2148.4
frame_000017.jpg,crack,0.224,3606.8,1381.3,3716.3,1751.4
frame_000018.jpg,crack,0.625,2975.1,1050.0,3123.7,2160.0
frame_000018.jpg,crack,0.57,3112.9,201.8,3222.1,694.3
frame_000018.jpg,crack,0.207,3552.0,1582.2,3660.0,1944.2
frame_000019.jpg,crack,0.601,3062.5,405.7,3167.2,896.0
frame_000019.jpg,crack,0.548,3064.2,32.5,3202.2,889.0
frame_000019.jpg,crack,0.468,2938.0,1253.4,3077.1,2160.0
frame_000019.jpg,crack,0.225,3496.8,1791.8,3615.7,2160.0
frame_000020.jpg,crack,0.618,3010.1,654.5,3122.3,1134.2
frame_000020.jpg,crack,0.553,3011.2,270.9,3158.2,1131.1
frame_000020.jpg,crack,0.528,2905.1,1466.0,3041.3,2160.0
frame_000021.jpg,crack,0.657,2971.7,556.6,3118.5,1409.0
frame_000021.jpg,crack,0.483,2901.6,1755.0,3003.9,2160.0
frame_000021.jpg,crack,0.377,2972.9,926.9,3083.0,1417.4
frame_000022.jpg,crack,0.596,2939.2,868.5,3084.1,1729.9
frame_000022.jpg,crack,0.314,2939.2,1243.5,3054.0,1737.1
frame_000023.jpg,crack,0.683,2925.4,1209.7,3073.6,2087.4
frame_000024.jpg,crack,0.647,2914.6,1571.9,3052.7,2160.0
frame_000025.jpg,crack,0.23,2934.8,1937.9,3020.0,2160.0
frame_000026.jpg,crack,0.406,1411.2,0.0,1481.8,244.4
frame_000028.jpg,crack,0.298,1399.6,0.0,1457.9,292.1
frame_000030.jpg,crack,0.241,1332.0,0.0,1429.1,486.4
frame_000032.jpg,crack,0.255,2948.5,0.0,3064.7,620.4
frame_000033.jpg,crack,0.706,2929.3,6.2,3064.2,1000.2
frame_000034.jpg,crack,0.595,2882.1,0.0,3067.3,1369.2
frame_000035.jpg,crack,0.447,2841.5,1.3,3045.8,1724.0
frame_000036.jpg,crack,0.305,2786.1,21.4,3022.1,2139.6
frame_000037.jpg,crack,0.48,2740.2,292.8,2972.7,2157.0
frame_000038.jpg,crack,0.601,2688.8,650.1,2905.8,2160.0
frame_000038.jpg,crack,0.413,2883.4,0.0,2972.5,304.2
frame_000038.jpg,crack,0.356,1238.3,0.0,1334.8,535.8
frame_000039.jpg,crack,0.732,2789.8,0.0,2903.8,672.4
frame_000039.jpg,crack,0.659,2641.2,995.9,2821.4,2160.0
frame_000040.jpg,crack,0.725,2697.4,271.3,2816.0,1020.5
frame_000040.jpg,crack,0.515,2574.4,1354.2,2732.7,2160.0
frame_000041.jpg,crack,0.757,2630.5,675.1,2743.9,1382.2
frame_000041.jpg,crack,0.43,2538.6,1725.8,2665.4,2160.0
frame_000042.jpg,crack,0.752,2590.8,1017.8,2715.7,1751.4
frame_000043.jpg,crack,0.751,2569.1,1421.9,2688.2,2103.0
frame_000044.jpg,crack,0.517,1133.2,0.7,1195.0,250.2
frame_000044.jpg,crack,0.357,2573.9,1822.2,2666.0,2160.0
frame_000045.jpg,crack,0.657,1112.6,12.0,1214.9,684.6
frame_000047.jpg,crack,0.224,649.6,0.0,706.4,162.1
frame_000048.jpg,crack,0.4,1146.3,0.0,1203.1,166.8
frame_000048.jpg,crack,0.231,1147.9,0.0,1225.2,167.3
frame_000051.jpg,crack,0.296,1033.5,0.0,1100.4,336.8
frame_000056.jpg,crack,0.424,863.0,0.0,965.4,532.5
frame_000057.jpg,crack,0.488,855.3,0.0,906.9,184.6
frame_000058.jpg,crack,0.541,765.8,0.0,862.6,582.4
frame_000058.jpg,crack,0.505,703.4,682.1,817.2,1322.7
frame_000058.jpg,crack,0.366,615.2,1388.7,749.8,2160.0
frame_000058.jpg,crack,0.238,2360.7,0.0,2431.6,348.5
frame_000059.jpg,crack,0.575,628.8,1065.9,743.7,1706.4
frame_000059.jpg,crack,0.498,694.4,0.0,831.9,969.5
frame_000059.jpg,crack,0.471,577.8,1784.7,668.3,2154.6
frame_000059.jpg,crack,0.223,2285.7,317.0,2361.4,730.4
frame_000060.jpg,crack,0.668,557.6,1455.0,681.4,2116.1
frame_000060.jpg,crack,0.586,2277.2,20.3,2359.7,472.3
frame_000060.jpg,crack,0.258,61.6,203.1,167.8,816.6
frame_000060.jpg,crack,0.228,629.0,309.2,775.5,1365.3
frame_000061.jpg,crack,0.706,535.8,1870.6,616.4,2154.3
frame_000061.jpg,crack,0.471,2287.3,0.0,2341.3,207.6
frame_000061.jpg,crack,0.42,2219.5,453.0,2298.2,879.1
frame_000062.jpg,crack,0.387,2232.7,0.0,2340.7,616.6
frame_000062.jpg,crack,0.213,2169.6,886.5,2258.4,1313.6
frame_000063.jpg,crack,0.472,2150.4,1311.6,2232.2,1750.5
frame_000063.jpg,crack,0.24,696.4,0.0,799.2,595.6
frame_000064.jpg,crack,0.417,2139.4,1745.7,2228.9,2159.2
frame_000065.jpg,crack,0.52,1604.6,2.6,1660.5,285.9
frame_000066.jpg,crack,0.384,1593.0,386.3,1657.6,702.8
frame_000067.jpg,crack,0.531,1579.1,821.2,1647.3,1136.3
frame_000068.jpg,crack,0.59,1546.9,1262.4,1624.1,1586.7
frame_000068.jpg,crack,0.444,832.9,0.0,920.4,456.2
